City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
nanortalik,60.1432,-45.2371,35.87,94,100,17.78,GL,1639882167
muros,42.7762,-9.0603,51.24,92,19,6.02,ES,1639882167
mataura,-46.1927,168.8643,74.68,44,91,12.48,NZ,1639882168
alugan,12.2188,125.4808,81.88,85,100,9.26,PH,1639882168
tamandare,-8.7597,-35.1047,77.85,79,70,8.28,BR,1639882168
rikitea,-23.1203,-134.9692,77.22,77,100,13.44,PF,1639882168
albany,42.6001,-73.9662,37.58,93,100,2.28,US,1639882169
zhigansk,66.7697,123.3711,-45.36,99,83,6.08,RU,1639882169
puerto ayora,-0.7393,-90.3518,69.55,96,92,1.99,EC,1639882160
pevek,69.7008,170.3133,-15.45,92,100,2.01,RU,1639882170
dikson,73.5069,80.5464,-25.33,95,73,6.2,RU,1639882170
innisfail,-17.5333,146.0333,88.88,66,30,9.64,AU,1639881917
georgetown,5.4112,100.3354,77.95,88,40,1.01,MY,1639882089
luderitz,-26.6481,15.1594,59.13,83,49,6.4,NA,1639882171
saldanha,-33.0117,17.9442,59.05,95,27,9.4,ZA,1639882171
tarauaca,-8.1614,-70.7656,73.54,99,83,2.17,BR,1639882171
provideniya,64.3833,-173.3,3.6,97,100,19.1,RU,1639882172
cidreira,-30.1811,-50.2056,70.34,73,86,19.44,BR,1639882172
faanui,-16.4833,-151.75,80.02,74,78,12.53,PF,1639882172
vaini,-21.2,-175.2,87.96,84,20,13.8,TO,1639882172
nantucket,41.2835,-70.0995,45.14,91,100,16.08,US,1639881894
hailey,43.5196,-114.3153,22.89,74,89,5.01,US,1639882173
san patricio,28.017,-97.5169,59.09,69,42,17.81,US,1639882173
malindi,-3.2175,40.1191,78.96,83,75,2.3,KE,1639882174
codrington,-38.2667,141.9667,57.43,74,80,23.24,AU,1639882174
acapulco,16.8634,-99.8901,77.92,76,70,5.95,MX,1639882174
tabuk,17.4189,121.4443,71.4,95,100,9.82,PH,1639882174
ulagan,50.6321,87.9563,13.06,83,100,1.74,RU,1639882175
komsomolskiy,40.4272,71.7189,27.32,59,91,2.3,UZ,1639882175
